date,crypto_index,volatility,google trends,total count,dollarVolume,address #,blockUsd,CryptoSent,DeltaCryptoSent
2025-05-01,75.52544979036014,39.195116949989114,28.999999999999996,67.08860759493672,17.577027360233803,74.13666196405569,14.97304296779483,-2.779753294958826,
2025-05-02,77.28158532210813,41.149466059566464,27.0,84.81012658227847,20.004717670918705,81.74342412306083,17.752106015469042,-2.748664760055852,0.031088534902974363
2025-05-03,77.62510608844858,42.65119010624828,22.0,82.27848101265823,15.41459275012736,68.68967834674334,9.8998076292358,-2.8450531742196596,-0.09638841416380783
2025-05-04,76.87759187363199,43.65274349679074,27.0,81.0126582278481,9.137319633474851,59.48318394320597,4.604985198516489,-2.902978853738452,-0.05792567951879235
2025-05-05,75.59827548557323,44.1246833382978,26.0,65.82278481012658,9.869473195565915,70.92146284092819,21.093422366490465,-2.69069103733652,0.21228781640193217
2025-05-06,75.94466570204678,44.507718624359605,28.000000000000004,74.68354430379746,15.951061766139544,70.26167496513045,16.599594538356037,-2.846085570312533,-0.15539453297601336
2025-05-07,77.62427566679071,43.633107887084066,28.000000000000004,84.81012658227847,15.46205987933112,74.58483234614062,15.192139689840367,-2.779803654940658,0.06628191537187522
2025-05-08,77.76209481121296,42.752308313128765,33.0,82.27848101265823,42.63260300282076,78.96666124399617,17.731053331766773,0.026615529822852774,2.8064191847635107
2025-05-09,82.61070560307547,42.31448201209562,34.0,92.40506329113924,33.12537392474116,80.4137142003739,20.55356173826203,0.8913265869517014,0.8647110571288487
2025-05-10,82.51955236083755,43.81009370749676,32.0,88.60759493670885,27.020064188694885,67.12688248895242,6.236743908828248,0.32299834984858633,-0.5683282371031151
2025-05-11,83.85664616075566,44.24313200980521,37.0,88.60759493670885,14.277269252478128,62.28848251455453,6.854833820586505,0.3466168177982587,0.023618467949672373
2025-05-12,83.34626724162409,45.242174683024075,35.0,88.60759493670885,18.138433529548738,70.98826836351805,18.171629450166066,0.3962178198265779,0.049601002028319185
2025-05-13,82.45085987191321,45.911865315274966,35.0,88.60759493670885,28.536406809957438,71.33883067666928,20.791686081326645,0.41956046398549013,0.02334264415891224
2025-05-14,83.49888679898179,46.063597828534235,36.0,92.40506329113924,22.42446109008608,71.3965687830194,15.732709409509157,0.7418191268542936,0.3222586628688035
2025-05-15,83.0259782063107,45.860320518994286,34.0,88.60759493670885,18.80650969658015,72.10982774576031,22.79611550393651,0.9759602644897419,0.2341411376354483
2025-05-16,83.1176848633983,44.88217328166346,30.0,89.87341772151899,21.074751039839835,71.87967538649862,15.859886716370037,1.0883176543513884,0.11235738986164645
2025-05-17,82.99520980713127,43.53227304989393,28.000000000000004,93.67088607594937,17.14408858811834,63.228293538932554,5.157876451177159,0.6097568407523069,-0.47856081359908154
2025-05-18,82.71977465599811,41.94160339220444,28.000000000000004,93.67088607594937,12.54952203859422,57.63529785128904,7.325432245628124,0.6610526977339559,0.05129585698164907
2025-05-19,84.97848556686638,40.42743292695717,25.0,93.67088607594937,20.360006354015557,66.62550770863724,18.95286236518194,1.0545261339289758,0.39347343619501984
2025-05-20,84.65692541803497,38.44191255057386,26.0,89.87341772151899,28.70139004383669,71.47657539689948,18.60124004867271,0.9809243504016179,-0.07360178352735791
2025-05-21,85.58444935351115,36.0679330924979,28.000000000000004,88.60759493670885,24.1014262967058,75.70639172838288,25.304884540090768,1.3309581031177358,0.3500337527161179
2025-05-22,87.89194539072106,35.51287720638634,32.0,91.13924050632912,40.21324050244068,81.71555515255929,27.476570089359804,1.1798426005126146,-0.1511155026051212
2025-05-23,89.41029111070182,37.81907186456466,32.0,98.73417721518987,34.58122048076974,76.17816406156243,26.390621487351517,1.231971226279002,0.052128625766387326
2025-05-24,85.92903260396419,37.892524658222996,28.000000000000004,83.54430379746836,32.61657218801821,66.75445170134064,9.327417988872634,0.7081381334958416,-0.5238330927831603
2025-05-25,86.42168139120577,37.95632461287664,32.0,93.67088607594937,17.965452003256694,59.0444810104302,5.632593085471088,0.7363083219763278,0.028170188480486136
2025-05-26,87.24753509064163,38.32856237447232,28.000000000000004,92.40506329113924,19.637235149262,68.87876064421326,15.784197128086797,1.088335309976219,0.3520269879998912
